Date,Message
2021-10-05T16:00:00.000-00:00,";51,190.11;49,429.226;46,564.945;45,698.266;3.562;9.933;12.018;2.393;1.475;0.478;6.151;1.897"
2021-10-05T20:00:00.000-00:00,";51,471.99;49,800.637;46,740.197;45,755.716;3.356;10.124;12.493;2.763;1.586;0.52;6.548;2.152"
2021-10-06T00:00:00.000-00:00,";51,513.81;50,112.123;46,910.683;45,813.01;2.797;9.813;12.444;3.013;1.683;0.559;6.825;2.396"
2021-10-06T04:00:00.000-00:00,";51,449.99;50,355.372;47,072.801;45,869.1;2.174;9.299;12.167;3.039;1.74;0.587;6.973;2.624"
2021-10-06T08:00:00.000-00:00,";51,306.56;50,528.315;47,224.007;45,923.204;1.54;8.645;11.723;3.039;1.79;0.614;6.997;2.833"
2021-10-06T12:00:00.000-00:00,";54,984.19;51,338.474;47,501.156;46,013.363;7.101;15.753;19.496;3.863;2.011;0.69;8.078;3.233"
2021-10-06T16:00:00.000-00:00,";55,049.99;52,013.295;47,770.757;46,103.279;5.838;15.238;19.406;4.443;2.205;0.76;8.881;3.617"
2021-10-06T20:00:00.000-00:00,";55,315;52,613.605;48,040.195;46,194.938;5.134;15.143;19.743;4.992;2.408;0.834;9.52;3.994"
2021-10-07T00:00:00.000-00:00,";54,810.94;53,013.121;48,282.007;46,280.67;3.391;13.522;18.432;5.278;2.569;0.897;9.799;4.324"
2021-10-07T04:00:00.000-00:00,";54,755.92;53,329.993;48,513.218;46,365;2.674;12.868;18.098;5.545;2.73;0.962;9.929;4.633"
2021-10-07T08:00:00.000-00:00,";54,305.54;53,507.365;48,720.087;46,444.011;1.492;11.464;16.927;4.225;2.566;0.936;9.826;4.901"
2021-10-07T12:00:00.000-00:00,";53,899.99;53,578.752;48,905.083;46,518.2;0.6;10.213;15.869;3.01;2.375;0.9;9.557;5.131"
2021-10-07T16:00:00.000-00:00,";53,962.76;53,648.571;49,085.715;46,592.275;0.586;9.936;15.819;1.967;2.176;0.86;9.296;5.352"
2021-10-07T20:00:00.000-00:00,";53,785.22;53,673.417;49,253.554;46,663.847;0.208;9.201;15.261;1.246;2.012;0.828;8.974;5.55"
2021-10-08T00:00:00.000-00:00,";53,815.22;53,699.199;49,416.471;46,735.004;0.216;8.901;15.15;0.692;1.862;0.798;8.667;5.738"
2021-10-08T04:00:00.000-00:00,";54,829.39;53,904.688;49,609.789;46,815.546;1.715;10.521;17.118;0.743;1.826;0.8;8.657;5.969"
2021-10-08T08:00:00.000-00:00,";55,242.72;54,147.967;49,810.965;46,899.398;2.022;10.905;17.79;1.062;1.852;0.819;8.707;6.208"
2021-10-08T12:00:00.000-00:00,";54,324.84;54,180.126;49,972.175;46,973.283;0.267;8.71;15.651;0.991;1.806;0.818;8.421;6.384"
2021-10-08T16:00:00.000-00:00,";54,686.48;54,272.19;50,140.543;47,050.031;0.763;9.066;16.23;1.116;1.801;0.828;8.24;6.569"
2021-10-08T20:00:00.000-00:00,";53,951.43;54,213.87;50,276.646;47,118.702;-0.484;7.309;14.501;0.958;1.741;0.821;7.831;6.702"
2021-10-09T00:00:00.000-00:00,";54,560.58;54,276.908;50,429.644;47,192.75;0.523;8.191;15.612;0.691;1.653;0.806;7.629;6.859"
2021-10-09T04:00:00.000-00:00,";54,917.55;54,393.389;50,589.926;47,269.614;0.964;8.554;16.179;0.453;1.564;0.789;7.518;7.024"
2021-10-09T08:00:00.000-00:00,";54,792.68;54,465.987;50,740.025;47,344.471;0.6;7.987;15.732;0.528;1.537;0.79;7.343;7.172"
2021-10-09T12:00:00.000-00:00,";54,977.29;54,558.951;50,891.356;47,420.419;0.767;8.029;15.936;0.528;1.497;0.787;7.207;7.319"
2021-10-09T16:00:00.000-00:00,";54,656.81;54,576.744;51,025.836;47,492.423;0.147;7.116;15.085;0.669;1.49;0.793;6.959;7.44"
2021-10-09T20:00:00.000-00:00,";54,949.72;54,644.558;51,165.975;47,566.625;0.558;7.395;15.522;0.677;1.46;0.792;6.799;7.567"
2021-10-10T00:00:00.000-00:00,";55,049.15;54,718.12;51,304.66;47,641.078;0.605;7.299;15.55;0.597;1.413;0.786;6.653;7.69"
